,Domain Profiler Summary for nitec.com,,,,,
,Generated on: 2025-10-31 10:47:45,,,,,
,,,,,,
,Top 5 Banners,,,,,
,Name,Count,,,,
,nginx,2,,,,
,Microsoft-Azure-Application-Gateway/v2,1,,,,
,,,,,,
,Top 5 ASN,,,,,
,ASN,ASN Name,Network Range,Count,,
,8075,MICROSOFT-CORP-MSN-AS-BLOCK,208.84.0.0/21,5,,
,16509,AMAZON-02,54.171.0.0/16,2,,
,42427,"MIMECAST-UK, GB",195.130.217.0/24,2,,
,2856,"BT-UK-AS BTnet UK Regional network, GB",62.172.0.0/16,1,,
,,,,,,
,Top 5 Countries,,,,,
,Name,Count,,,,
,United States,4,,,,
,Ireland,3,,,,
,United Kingdom,3,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
