Category,Key,Value
Domain,URL,arsenal.co.uk
Network,IP_Address,217.19.248.132
Confidence,Enhanced_Confidence,100%
Analysis,Timestamp,2025-08-28 22:36:51 UTC
Providers,Primary Provider,Safenames Datacentre
Providers,CDN Providers,"AWS, AKAMAI, IMPERVA, Amazon.com, Inc., Akamai Technologies, Inc., Imperva Ltd., Akamai International, BV, Incapsula Inc"
Providers,DNS Providers,Safenames
Providers,Hosting Providers,AWS
Providers,Cloud Providers,"AWS, AKAMAI, DIGITALOCEAN, AZURE, GCP, LINODE, VULTR"
Analysis Steps,Base Provider Detection,completed | +15% confidence | 1 findings
Analysis Steps,SSL Certificate Analysis,completed | +5% confidence | 1 findings
Analysis Steps,Enhanced DNS Analysis,completed | +0% confidence | 0 findings
Analysis Steps,Geographic Intelligence,completed | +0% confidence | 0 findings
Analysis Steps,BGP Analysis,completed | +0% confidence | 0 findings
Analysis Steps,Advanced BGP Classification,completed | +15% confidence | 1 findings
Analysis Steps,Threat Intelligence,completed | +0% confidence | 1 findings
Analysis Steps,Shodan Premium WAF Analysis,completed | +-1350% confidence | 13 findings
Analysis Steps,Cross-Validation & Final Analysis,completed | +10% confidence | 2 findings
,,
=== SHODAN PREMIUM ANALYSIS DETAILS ===,,
Shodan WAF,Detection Success,True
Shodan WAF,WAF Detected,False
,,
=== SHODAN OPTIMIZATION ANALYTICS ===,,
Shodan Optimization,Queries Executed,13
Shodan Optimization,Total Results Available,2324619
Shodan Optimization,Unique Hosts Collected,65
Shodan Queries,Query 1,Primary hostname search (1 results)
Shodan Queries,Query 2,SSL certificate subject search (1 results)
Shodan Queries,Query 3,HTML content references (0 results)
Shodan Queries,Query 4,HTTP title tag references (0 results)
Shodan Queries,Query 5,Visual infrastructure with screenshots (0 results)
,,
=== SHODAN STATISTICAL INSIGHTS ===,,
Shodan Statistics,Total Unique Hosts,65
Shodan Statistics,Unique IP Addresses,65
Shodan Statistics,Unique Ports,25
Shodan Statistics,Countries Detected,11
