Category,Key,Value
Domain,URL,cloudflare.com
Network,IP_Address,N/A
Confidence,Enhanced_Confidence,92%
Analysis,Timestamp,2025-08-27 13:08:38 UTC
Providers,Primary Provider,"CloudFlare, Inc."
Providers,CDN Providers,"CloudFlare, Inc., Cloudflare, Inc., CLOUDFLARE"
Providers,DNS Providers,Cloudflare
Providers,Hosting Providers,None
Providers,Cloud Providers,None
Analysis Steps,Base Provider Detection,completed | +15% confidence | 1 findings
Analysis Steps,SSL Certificate Analysis,completed | +5% confidence | 1 findings
Analysis Steps,Enhanced DNS Analysis,completed | +0% confidence | 0 findings
Analysis Steps,Geographic Intelligence,completed | +0% confidence | 0 findings
Analysis Steps,BGP Analysis,completed | +0% confidence | 0 findings
Analysis Steps,step_6_advanced_bgp_classification,pending | +0% confidence | 0 findings
Analysis Steps,Threat Intelligence,completed | +0% confidence | 1 findings
Analysis Steps,Shodan Premium WAF Analysis,completed | +25% confidence | 13 findings
Analysis Steps,Cross-Validation & Final Analysis,completed | +10% confidence | 2 findings
