Category,Key,Value
Domain,URL,eskimi.com
Network,IP_Address,N/A
Confidence,Enhanced_Confidence,100%
Analysis,Timestamp,2025-08-28 21:09:19 UTC
Providers,Primary Provider,AWS
Providers,CDN Providers,"Cloudflare, AWS"
Providers,DNS Providers,Cloudflare
Providers,Hosting Providers,AWS
Providers,Cloud Providers,"AWS, AS16509, GCP"
Analysis Steps,Base Provider Detection,completed | +15% confidence | 1 findings
Analysis Steps,SSL Certificate Analysis,completed | +5% confidence | 1 findings
Analysis Steps,Enhanced DNS Analysis,completed | +0% confidence | 0 findings
Analysis Steps,Geographic Intelligence,completed | +0% confidence | 0 findings
Analysis Steps,BGP Analysis,completed | +0% confidence | 0 findings
Analysis Steps,Advanced BGP Classification,completed | +19% confidence | 1 findings
Analysis Steps,Threat Intelligence,completed | +0% confidence | 1 findings
Analysis Steps,Shodan Premium WAF Analysis,completed | +25% confidence | 12 findings
Analysis Steps,Cross-Validation & Final Analysis,completed | +10% confidence | 2 findings
,,
=== SHODAN PREMIUM ANALYSIS DETAILS ===,,
Shodan WAF,Detection Success,True
Shodan WAF,WAF Detected,False
Shodan Providers,Cloud Providers,GCP
Shodan Providers,Primary Infrastructure,Hetzner Online GmbH
Shodan Technology,Technologies Detected,2 technologies
Shodan Technology,Technology List,"remote desktop protocol, nginx"
Shodan Technology,Web Servers,nginx (x5)
Shodan Security,Security Score,100/100
Shodan Security,Security Headers,0 headers detected
Shodan Security,Security Recommendations,1 recommendations
Shodan Security,Primary Recommendation,Strong security posture detected
Shodan Infrastructure,Geographic Locations,5 locations
Shodan Infrastructure,Primary Location,"Netherlands, Lelystad (3 hosts)"
Shodan Infrastructure,ASN Networks,3 networks
Shodan Infrastructure,Primary ASN,"AS7979 - Servers.com, Inc."
Shodan Infrastructure,Open Ports,3 ports detected
Shodan Infrastructure,Hosting Patterns,"cloud, self-signed"
Shodan Vulnerabilities,Vulnerabilities Found,0
Shodan Vulnerabilities,Risk Score,0/100
Shodan Vulnerabilities,Security Recommendations,No vulnerabilities detected via Shodan
Shodan SSL,SSL Trust Score,100/100
Shodan SSL,Certificate Authorities,"geotrust tls rsa ca g1, e5, ops.eskimi.com"
Shodan SSL,SSL Configurations,9 configurations
Shodan SSL,Primary SSL Config,TLSv1.3 (256 bits)
Shodan Quality,Data Richness Score,72/100
Shodan Quality,Hosts Analyzed,10
Shodan Quality,Analysis Confidence,24%
